,user_id,lgb
195,243,"[906017, 9524511, 1135044, 9483753, 7143963]"
196,244,"[9268043, 6533681, 908283, 948232, 896757]"
197,245,"[12731517, 935968, 972416, 1089066, 12731543]"
198,246,"[911470, 819304, 1015974, 941368, 1097761]"
199,247,"[1134292, 878445, 901976, 958564, 1120362]"
200,248,"[862732, 915064, 13417846, 1093966, 8119101]"
201,249,"[930838, 947316, 15926927, 1058021, 935990]"
202,250,"[1076875, 844165, 923967, 923169, 937301]"
203,251,"[932503, 1038462, 1002261, 953320, 1002832]"
204,253,"[12731544, 1020739, 965693, 873577, 992985]"
205,254,"[859237, 862535, 1122568, 1054262, 1012338]"
206,255,"[938139, 1082212, 847344, 1050038, 9858920]"
207,256,"[1111786, 1002178, 1006250, 9655242, 1060193]"
208,257,"[1093413, 10204440, 911622, 6396492, 918046]"
209,258,"[935968, 9420312, 831559, 1078666, 824796]"
210,259,"[6391381, 1075007, 822259, 1096099, 881154]"
211,260,"[921836, 880427, 848071, 1019643, 6904666]"
213,262,"[1124971, 849843, 1008814, 999971, 858999]"
214,263,"[855138, 864312, 937928, 1117358, 831063]"
215,267,"[929373, 901976, 1126899, 1075368, 1011457]"
216,269,"[1139782, 907957, 12731467, 965530, 7409644]"
217,271,"[819978, 861445, 921504, 1004613, 999971]"
218,273,"[1043663, 1069538, 6979579, 856818, 1030455]"
219,275,"[857554, 962615, 825703, 924004, 918638]"
220,276,"[825317, 5588161, 13512542, 847803, 13115894]"
221,277,"[841266, 985911, 898601, 826249, 1012922]"
222,278,"[871514, 881119, 1080677, 1048300, 891505]"
223,279,"[1082212, 12731470, 1133893, 12731701, 858999]"
224,280,"[9416729, 12731544, 978376, 1097849, 958594]"
225,281,"[1018050, 1099905, 934369, 862070, 823775]"
226,282,"[6464074, 998557, 7166845, 5571261, 7168129]"
227,283,"[984680, 1125601, 7409644, 1108094, 1019637]"
228,285,"[878739, 1013389, 9270796, 10285303, 1064574]"
229,286,"[1115069, 5571541, 1109370, 1120361, 15926886]"
230,287,"[837647, 9297310, 1075275, 9297055, 10204440]"
231,288,"[1054539, 1005456, 841309, 932179, 5577022]"
232,289,"[1125497, 923528, 1042765, 12384177, 1050082]"
233,290,"[873964, 9420312, 995230, 910309, 12582219]"
234,291,"[1120213, 911311, 9297055, 1108131, 1031740]"
235,292,"[856455, 9420312, 961730, 1009821, 827683]"
236,293,"[13008334, 1014238, 866528, 842455, 9553382]"
237,294,"[9245108, 983936, 1088683, 932949, 832661]"
238,297,"[10285373, 915459, 1043920, 853622, 1095040]"
239,300,"[989935, 908856, 1005107, 6039859, 1121656]"
240,301,"[898510, 9837807, 12757280, 1015474, 923849]"
241,302,"[1045220, 983753, 10455568, 907308, 860849]"
242,303,"[6534074, 1082141, 9487613, 935770, 822225]"
243,304,"[868764, 6979753, 1100658, 1056267, 1033720]"
244,305,"[1031083, 885290, 1133850, 1070898, 941532]"
245,306,"[1049735, 838940, 1069003, 7467039, 878442]"
246,307,"[1074040, 1065259, 1019637, 1082172, 877447]"
247,308,"[887102, 963835, 1049906, 911401, 821741]"
248,311,"[1110111, 855916, 976114, 10456613, 984140]"
249,314,"[882308, 1053628, 820486, 849697, 979523]"
250,316,"[980666, 859154, 1125891, 869903, 934369]"
251,317,"[842783, 953539, 1099905, 881154, 825170]"
252,318,"[7025203, 1134522, 875089, 995230, 999621]"
253,319,"[1019247, 935993, 944526, 1034955, 853197]"
254,320,"[872382, 837270, 866355, 1069003, 1072693]"
255,321,"[905436, 976114, 1116050, 945909, 5580166]"
256,322,"[909472, 906309, 8090556, 6533394, 7467081]"
257,324,"[1057260, 1112667, 1010681, 13007846, 9677466]"
258,325,"[12695874, 870871, 5590661, 9527174, 1076954]"
259,326,"[8090521, 1110572, 8090537, 1137346, 852856]"
260,328,"[821083, 1028473, 1048257, 972191, 12525270]"
261,329,"[934369, 943393, 831125, 977497, 1061614]"
262,331,"[5569135, 5565322, 1103752, 5565664, 1044188]"
263,332,"[1056267, 7160185, 13512737, 13842214, 6464165]"
264,334,"[826144, 1064280, 9526572, 1094562, 1123536]"
265,335,"[1041259, 1006483, 1005456, 5995626, 13002975]"
266,338,"[819840, 1015296, 887219, 1015375, 9297062]"
267,339,"[851819, 1096066, 1031492, 953104, 1082172]"
269,342,"[940023, 824193, 918688, 1123536, 938554]"
270,343,"[1092588, 1098435, 1012052, 987571, 6979427]"
271,345,"[6602697, 9833335, 1048483, 856788, 1010051]"
272,346,"[1101010, 9245108, 903019, 962615, 1083446]"
274,348,"[978129, 887234, 8359154, 853124, 1006555]"
275,349,"[844179, 960791, 1011300, 5569374, 945805]"
276,350,"[940023, 834103, 1085604, 1082269, 892998]"
277,351,"[8020166, 13842214, 1052155, 13842090, 894439]"
278,353,"[6978886, 13008321, 13907063, 1015694, 9677486]"
279,354,"[1030182, 866292, 860703, 1008814, 1071733]"
280,356,"[1049735, 947798, 1073150, 1086119, 1082310]"
281,357,"[891516, 909800, 867447, 1133893, 1098485]"
282,358,"[12757544, 937626, 5568489, 949294, 833458]"
283,360,"[8181495, 1138189, 825703, 7025114, 889649]"
284,361,"[826249, 960984, 907308, 898601, 917033]"
285,362,"[1081533, 1128395, 1126045, 937454, 900697]"
287,365,"[1136719, 1062128, 5566309, 1028238, 949784]"
288,367,"[823775, 1047769, 1135096, 877447, 1031864]"
289,368,"[1061747, 956125, 9881593, 882308, 1037840]"
290,371,"[941368, 919423, 1094107, 1115057, 6533608]"
291,374,"[879755, 1015296, 12524016, 6979393, 1075786]"
292,375,"[1058021, 1029504, 1044895, 8090532, 8090537]"
293,376,"[1061220, 1076875, 873324, 12949590, 995055]"
294,377,"[1094924, 994223, 1003616, 9338009, 945139]"
295,378,"[904833, 954642, 916990, 13213475, 899682]"
296,380,"[1098284, 1069863, 935570, 12731386, 1090706]"
297,381,"[1075368, 1019247, 1079482, 1031065, 878715]"
298,382,"[999250, 1125278, 823862, 881883, 985893]"
299,384,"[1068957, 1061394, 869868, 999090, 8019977]"
300,385,"[1057260, 1124971, 909472, 878715, 1006906]"
301,386,"[977499, 1088191, 1139023, 954997, 1065122]"
302,387,"[902856, 9925966, 1009719, 9832529, 925694]"
303,388,"[1029504, 5591609, 881154, 820612, 13213015]"
304,389,"[13115981, 996795, 10344585, 891632, 1019942]"
305,390,"[1058243, 888543, 1072693, 1064542, 894439]"
306,392,"[1028473, 963835, 992150, 1092588, 964853]"
307,393,"[10457128, 972312, 963686, 1103808, 5566472]"
308,394,"[1053988, 833598, 825118, 6391381, 6463520]"
309,395,"[1070076, 1093030, 834129, 1104604, 1017890]"
310,396,"[834103, 879031, 1131384, 6039586, 1010424]"
311,397,"[13842214, 6904613, 892573, 9297319, 931255]"
312,398,"[871513, 901976, 992985, 898601, 880888]"
314,400,"[5567702, 5566235, 12695874, 1049735, 1006555]"
315,401,"[827683, 942166, 6396492, 861499, 7025046]"
316,402,"[13842214, 13842090, 1007911, 853448, 1042571]"
317,403,"[10344971, 1130375, 12731685, 12812261, 10344585]"
318,404,"[9392953, 1092588, 948239, 864893, 1108152]"
319,405,"[13842088, 1070076, 948670, 1012052, 974156]"
320,406,"[910309, 6919354, 823775, 820923, 824796]"
321,408,"[862799, 995276, 1080677, 1112824, 872062]"
322,409,"[856345, 1038443, 13007600, 852572, 981716]"
323,410,"[1096066, 12731467, 901976, 9835619, 850925]"
324,411,"[9677874, 852181, 911338, 1046047, 909800]"
325,412,"[1012052, 13654702, 5570406, 1063739, 1094562]"
326,413,"[970160, 1038985, 1048257, 5568606, 12695874]"
327,414,"[872066, 1085333, 850652, 1014999, 1082212]"
328,415,"[864893, 995242, 1133018, 1126899, 1070820]"
329,417,"[1002261, 15452705, 995276, 866828, 9677670]"
330,418,"[13190349, 852360, 1022340, 12385477, 983316]"
331,419,"[928754, 1102416, 1071759, 1114605, 935993]"
333,421,"[9803483, 1031864, 1088191, 1066893, 859987]"
334,424,"[9803591, 9802756, 897083, 868588, 1088429]"
335,425,"[1134143, 969419, 1039627, 870428, 822407]"
336,426,"[1088544, 899682, 822646, 14106445, 834129]"
337,427,"[12673354, 893501, 1054539, 948670, 6772852]"
338,430,"[843744, 10456015, 1089705, 1006483, 1062095]"
339,431,"[10198378, 1109370, 1092937, 868015, 908504]"
340,432,"[1089766, 10457128, 1027773, 1043895, 6979579]"
341,433,"[849003, 6979518, 998373, 960791, 945652]"
342,434,"[1096099, 1046587, 845109, 837751, 923208]"
343,435,"[8090537, 929726, 1075368, 1004906, 1133018]"
344,436,"[878764, 1039239, 934399, 1038325, 10457233]"
345,437,"[9803684, 1022984, 6534406, 1044500, 1135932]"
346,438,"[873902, 9881593, 962991, 999599, 1014802]"
347,439,"[1037840, 870515, 1096099, 1136524, 989824]"
348,441,"[1038985, 6533681, 1124971, 1001412, 906844]"
349,442,"[879755, 962615, 1125391, 1011926, 1136654]"
350,443,"[1057260, 1110983, 873056, 1065331, 1128464]"
351,445,"[852235, 1006878, 947211, 849578, 1103513]"
353,447,"[1057260, 1036419, 999971, 937626, 1131892]"
354,448,"[1128016, 9835695, 7166861, 1058997, 868764]"
355,449,"[8066803, 1078763, 982790, 907625, 9934800]"
356,450,"[13842214, 13842090, 922907, 863762, 8015407]"
357,451,"[999189, 908314, 1049922, 1109014, 13417846]"
359,454,"[6463752, 6464208, 913814, 1019247, 1083787]"
360,456,"[1017363, 1083856, 1118547, 901916, 852180]"
361,457,"[13003094, 1065122, 1086483, 9469110, 1135468]"
362,458,"[828588, 1027372, 910439, 1060912, 828114]"
363,459,"[885290, 844165, 863762, 972312, 934369]"
364,460,"[873887, 885939, 862732, 993466, 963835]"
365,461,"[918684, 10344585, 997907, 1029504, 10282425]"
366,462,"[1106073, 928589, 1011926, 13381631, 955921]"
367,463,"[1036093, 1055504, 891516, 838797, 5566717]"
368,464,"[6039994, 12599601, 1012584, 1103562, 841266]"
369,466,"[1025611, 895652, 918368, 1129576, 999858]"
370,467,"[9296804, 6979089, 12384601, 12384689, 911470]"
371,468,"[1098284, 1131506, 1073506, 883912, 827683]"
372,469,"[1098435, 972437, 1005849, 907392, 857262]"
373,470,"[908314, 871633, 6463520, 9245108, 7167847]"
376,473,"[1053016, 1019247, 825170, 1035207, 1060374]"
377,474,"[1088683, 1031083, 1038462, 838739, 1038325]"
378,475,"[9655212, 839208, 844278, 907392, 972665]"
379,476,"[845193, 1056847, 1002261, 1095227, 956125]"
381,479,"[1085604, 839262, 1001845, 888111, 864893]"
382,480,"[1047769, 854754, 5563693, 842416, 1019028]"
383,481,"[868764, 1074283, 878676, 1050741, 837969]"
385,483,"[12731470, 929628, 1052729, 956125, 10204440]"
386,484,"[1054644, 1111129, 6514287, 13381928, 1009769]"
387,485,"[7166861, 837579, 845193, 12731470, 7168431]"
388,486,"[837270, 1061220, 951590, 1068343, 1051323]"
389,487,"[1092264, 862682, 1126899, 952317, 984575]"
391,489,"[13842088, 893042, 1019247, 914012, 858743]"
392,490,"[12183644, 13512017, 9487534, 944317, 1075368]"
393,491,"[838940, 6533936, 1039927, 853197, 852690]"
394,493,"[1001017, 834103, 1070723, 1120362, 835634]"
395,495,"[899201, 906443, 998236, 951164, 1121321]"
396,496,"[999270, 823990, 944534, 8090532, 956486]"
397,497,"[1012913, 5567148, 12428210, 965530, 1065303]"
398,498,"[1005172, 849697, 1028891, 1072693, 961846]"
399,501,"[932949, 878222, 6396492, 1090286, 995242]"
400,502,"[1135868, 901976, 1038462, 873754, 5577022]"
401,503,"[971983, 1073150, 1127716, 835296, 1072693]"
402,505,"[962991, 1010190, 8090521, 1014802, 1081853]"
403,506,"[1049372, 13671735, 1076608, 9878513, 909338]"
404,507,"[9670915, 1036501, 857554, 839094, 1044259]"
405,510,"[1036501, 9837807, 881436, 1112205, 1131115]"
406,511,"[879755, 7433029, 1071171, 1116635, 1006664]"
408,513,"[1093413, 865026, 1119089, 1117690, 898121]"
409,514,"[923169, 852235, 1126786, 13381458, 1014054]"
410,515,"[5580166, 861792, 1038462, 1139303, 6533368]"
411,517,"[888233, 887234, 1107973, 13417846, 1014054]"
412,518,"[952408, 862732, 1038985, 961730, 1090676]"
413,519,"[888586, 942166, 907099, 917249, 972191]"
414,520,"[1104343, 7082640, 906763, 1039505, 1062117]"
415,521,"[1056212, 8205218, 835243, 823862, 8090440]"
416,523,"[1110572, 13842214, 970861, 1057260, 13842090]"
417,524,"[1018050, 888586, 7409918, 12263857, 980353]"
418,525,"[1124971, 1082269, 910207, 9832514, 1117690]"
419,526,"[8090556, 931688, 12427880, 12263463, 1020623]"
420,527,"[6514259, 955075, 5567582, 1011926, 1035788]"
421,528,"[1121393, 1039672, 904422, 1005493, 1070820]"
422,530,"[849697, 1131506, 1137694, 926796, 7409618]"
424,534,"[993466, 855718, 5591894, 1130111, 1055915]"
425,536,"[7025044, 1071759, 992985, 844759, 899201]"
426,537,"[1116635, 1057260, 937626, 902659, 1128163]"
427,538,"[12352204, 1082212, 999076, 871754, 867447]"
428,539,"[923746, 981760, 1126899, 878715, 14077333]"
429,540,"[1000237, 1087753, 993441, 5569993, 12384779]"
430,541,"[1096066, 1060408, 1002261, 6039994, 1079023]"
431,542,"[824796, 1089108, 1082990, 835619, 1075786]"
432,543,"[879734, 886481, 820486, 996955, 7443013]"
433,544,"[1085604, 1067928, 995895, 5567428, 881260]"
434,545,"[1070076, 13381458, 949742, 851865, 7443013]"
435,548,"[824073, 1098435, 1012913, 970028, 1121213]"
437,551,"[13842088, 12298966, 1011926, 880228, 881154]"
438,553,"[1036501, 842416, 1017254, 1030362, 1037332]"
439,554,"[1072086, 1069103, 1135681, 1011920, 916416]"
440,557,"[905436, 819330, 1135932, 846634, 1022984]"
441,558,"[983096, 891061, 1044068, 833724, 819112]"
442,560,"[978343, 5592232, 5565453, 999621, 831181]"
443,561,"[893042, 914012, 9707137, 5567148, 862582]"
444,562,"[1115069, 957951, 901470, 9884484, 907957]"
445,564,"[1039505, 10285144, 1079338, 8011291, 1017472]"
446,567,"[1089766, 877662, 824502, 1076875, 975092]"
447,568,"[15717057, 905817, 5572738, 1104649, 1099905]"
448,569,"[1028473, 921406, 981677, 6391080, 12428017]"
450,573,"[1009361, 8249063, 1082212, 849697, 1069039]"
451,574,"[978906, 1059922, 891505, 826952, 1024032]"
452,575,"[953561, 1011920, 897270, 855718, 8019233]"
453,577,"[889989, 841266, 1020739, 1110244, 823687]"
454,578,"[847207, 1006483, 955075, 942166, 891463]"
455,579,"[13842088, 948670, 993466, 852856, 970455]"
456,580,"[1118946, 966348, 887342, 7167967, 917438]"
457,581,"[988136, 983795, 6034953, 12525270, 868588]"
458,582,"[1021324, 5576075, 920455, 894426, 1115069]"
459,583,"[1076306, 8020166, 1135468, 845091, 901557]"
460,585,"[1073150, 970605, 1036501, 1058021, 5568072]"
461,586,"[906335, 937928, 980666, 887393, 921614]"
462,587,"[911470, 1070820, 890695, 983078, 864312]"
463,588,"[5580793, 896611, 866355, 916654, 1056746]"
464,590,"[1075175, 827683, 1031083, 1139216, 943393]"
465,591,"[1067820, 1065017, 935993, 926905, 857538]"
466,592,"[1078666, 977481, 9707498, 1139702, 896611]"
467,593,"[1104027, 846760, 984575, 988116, 15717057]"
468,594,"[872062, 938139, 1091158, 1093603, 969419]"
469,595,"[928263, 1013389, 1097991, 8019396, 5567292]"
470,596,"[1025581, 879734, 12731621, 1084036, 1115069]"
471,597,"[12524067, 6463986, 942166, 978974, 9523059]"
472,598,"[986187, 9553382, 858711, 8091554, 1050741]"
474,600,"[1110483, 6463986, 12731544, 13910163, 1102829]"
475,601,"[1037332, 1090317, 1021715, 9553170, 12330794]"
476,602,"[833940, 1021116, 882308, 1094723, 995916]"
477,603,"[1069003, 1135468, 992650, 6464147, 935851]"
478,604,"[900586, 6979545, 914577, 834129, 7441668]"
479,605,"[15926507, 993441, 13133916, 1027372, 943349]"
480,606,"[1018083, 1036930, 1095944, 848107, 1025468]"
481,608,"[1038462, 6979753, 961730, 9655528, 7024844]"
482,609,"[903529, 1015974, 914754, 1107553, 1058021]"
484,611,"[1079528, 1048483, 904521, 6919433, 940090]"
485,612,"[943233, 1082454, 1103476, 15741861, 826695]"
486,614,"[1039781, 975633, 7409918, 1054539, 982955]"
487,615,"[986912, 12731544, 995242, 1007512, 8090537]"
488,617,"[10345155, 970725, 5572828, 1083208, 1006250]"
489,618,"[1037840, 1089766, 934427, 1115971, 8249227]"
490,621,"[1112825, 1013999, 6919354, 869900, 960528]"
491,622,"[895680, 878715, 1098284, 1029688, 927030]"
492,623,"[999971, 934427, 935993, 896974, 992622]"
493,624,"[9881948, 953104, 830935, 865992, 1023546]"
494,625,"[1103741, 1047486, 8203451, 1021715, 1042571]"
495,627,"[9245312, 1125724, 954642, 1069003, 906345]"
496,628,"[1075786, 963365, 6979545, 1131310, 1051567]"
497,630,"[6464147, 1106271, 1138631, 905072, 880895]"
498,631,"[899682, 822646, 8119301, 841309, 1135096]"
